Name,Code
JIANGSU KING'S LUCK BREWER-A,603369
JIANGSU HENGRUI MEDICINE C-A,600276
JIANGSU HENGLI HIGHPRESSUR-A,601100
JIANGSU EXPRESSWAY CO LTD-A 'A'CNY1,600377
JIANGSU EASTERN SHENGHONG -A,000301
JCET GROUP CO LTD,600584
JA SOLAR TECHNOLOGY CO LTD-A,002459
ISOFTSTONE INFORMATION TEC-A,301236
INSPUR ELECTRONIC INFORMAT-A,000977
INNER MONGOLIAN BAOTOU STEEL,600010
INNER MONGOLIA YILI INDUS-A,600887
INDUSTRIAL SECURITIES CO-A,601377
INDUSTRIAL BANK CO LTD,601166
IND & COMM BK OF CHINA - A,601398
IMEIK TECHNOLOGY DEVELOPME-A,300896
IFLYTEK CO LTD,002230
HYGON INFORMATION TECHNOLO-A,688041
HUNDSUN TECHNOLOGIES INC-A,600570
HUIZHOU DESAY SV AUTOMOTIV-A 002920,002920
HUAYU AUTOMOTIVE SYSTEMS -A,600741
HUAXIA BANK CO LTD-A,600015
HUATAI SECURITIES CO LTD-A,601688
HUAQIN TECHNOLOGY CO LTD-A,603296
HUANENG POWER INTL INC-A,600011
HUANENG LANCANG RIVER HYDR-A,600025
HUALI INDUSTRIAL GROUP CO -A,300979
HUADONG MEDICINE CO LTD-A,000963
HUADIAN POWER INTL CORP-A,600027
HUADIAN NEW ENERGY GROUP C-A,600930
HOSHINE SILICON INDUSTRY C-A,603260
HONGTA SECURITIES CO LTD-A,601236
HITHINK ROYALFLUSH INFORMA-A,300033
HENGLI PETROCHEMICAL CO L-A,600346
HENAN SHUANGHUI INVESTMENT-A,000895
HANGZHOU TIGERMED CONSULTI-A,300347
HANGZHOU SILAN MICROELECTR-A,600460
HANGZHOU HIKVISION DIGITAL-A,002415
HAINAN AIRPORT INFRASTRUCT-A,600515
HAIER SMART HOME CO LTD-A,600690
GUOXUAN HIGH-TECH CO LTD 002074,002074
GUOTAI HAITONG SECURITIES CO,601211
GUOSEN SECURITIES CO LTD-A,002736
GUOLIAN SECURITIES CO LTD-A,601456
GUANGZHOU TINCI MATERIALS -A 002709,002709
GUANGZHOU AUTOMOBILE GROUP-A,601238
GUANGDONG LY INTELLIGENT M-A,002600
GUANGDONG HAID GROUP CO-A,002311
GREE ELECTRIC APPLIANCES I-A,000651
GREAT WALL MOTOR CO LTD-A,601633
GONEO GROUP CO LTD-A,603195
GOERTEK INC -A,002241
GIGADEVICE SEMICONDUCTOR I-A,603986
GF SECURITIES CO LTD-A,000776
GD POWER DEVELOPMENT CO -A,600795
GANFENG LITHIUM GROUP CO L-A,002460
FUYAO GROUP GLASS INDUSTR-A,600660
FOXCONN INDUSTRIAL INTERNE-A,601138
FOUNDER SECURITIES CO LTD-A,601901
FOSHAN HAITIAN FLAVOURING -A,603288
FOCUS MEDIA INFORMATION TE-A,002027
EVERBRIGHT SECURITIE CO -A,601788
EVE ENERGY CO LTD-A,300014
EOPTOLINK TECHNOLOGY INC L-A 300502,300502
ENN NATURAL GAS CO LTD-A,600803
EMPYREAN TECHNOLOGY CO LTD-A,301269
EASTROC BEVERAGE GROUP CO -A,605499
EAST MONEY INFORMATION CO-A,300059
DONGFANG ELECTRIC CORP LTD-A 'A'CNY1,600875
DAWNING INFORMATION INDUST-A,603019
DAQIN RAILWAY CO LTD -A,601006
CSI SOLAR CO LTD-A,688472
CSC FINANCIAL CO LTD-A,601066
CONTEMPORARY AMPEREX TECHN-A 300750,300750
CNPC CAPITAL CO LTD-A,000617
CNOOC LTD-A,600938
CMOC GROUP LTD-A,603993
CITIC SECURITIES CO-A SHARES,600030
CITI PACIFIC SPECIAL STEE-A,000708
CINDA SECURITIES CO LTD   -A,601059
CHONGQING ZHIFEI BIOLOGICA-A,300122
CHONGQING SOKON INDUSTRY G-A 601127,601127
CHONGQING RURAL COMMERCIAL-A,601077
CHONGQING CHANGAN AUTOMOB-A,000625
CHINA ZHESHANG BANK CO LTD-A,601916
CHINA YANGTZE POWER CO LTD-A,600900
CHINA VANKE CO LTD -A,000002
CHINA UNITED NETWORK-A,600050
CHINA TOURISM GROUP DUTY F-A,601888
CHINA THREE GORGES RENEWAB-A,600905
CHINA TELECOM CORP LTD-DM -A,601728
CHINA STATE CONSTRUCTION -A,601668
CHINA SOUTHERN AIRLINES CO-A,600029
CHINA SOUTH LOCOMOTIVE -A,601766
CHINA SHIPPING DEVELOPMENT-A 'A'CNY1,600026
CHINA SHIPBUILDING INDUSTRY GR,600482
CHINA SHENHUA ENERGY CO -A,601088
CHINA SATELLITE COMMUNICAT-A,601698
CHINA RESOURCES SANJIU MED-A 'A'CNY1,000999
CHINA RESOURCES MICROELECT-A,688396
CHINA RAILWAYS CONSTRUCTIO-A,601186
CHINA RAILWAY SIGNAL & COM-A,688009
CHINA RAILWAY GROUP LTD -A,601390
CHINA PETROLEUM & CHEMICAL-A,600028
CHINA PACIFIC INSURANCE GR-A,601601
CHINA OILFIELD SERVICES-A,601808
CHINA NORTHERN RARE EARTH-A,600111
CHINA NATIONAL NUCLEAR POW-A,601985
CHINA NATIONAL CHEMICAL-A,601117
CHINA MOBILE LTD-A,600941
CHINA MINSHENG BANKING-A,600016
CHINA MERCHANTS SHEKOU INDUSTRY,001979
CHINA MERCHANTS SECURITIES-A,600999
CHINA MERCHANTS EXPRESSWAY-A,001965
CHINA MERCHANTS ENERGY -A,601872
CHINA MERCHANTS BANK-A,600036
CHINA LIFE INSURANCE CO- A,601628
CHINA JUSHI CO LTD -A,600176
CHINA INTERNATIONAL CAPTAL-A,601995
CHINA GALAXY SECURITIES CO-A,601881
CHINA EVERBRIGHT BANK CO-A,601818
CHINA ENERGY ENGINEERING COR,601868
CHINA EASTERN AIRLINES CO-A,600115
CHINA CSSC HOLDINGS LTD-A,600150
CHINA COSCO HOLDINGS-A,601919
CHINA CONSTRUCTION BANK-A,601939
CHINA COMMUNICATIONS CONST-A,601800
CHINA COAL ENERGY CO-A,601898
CHINA CITIC BANK CORP LTD-A,601998
CHINA AVIONICS SYSTEMS CO LTD,600372
CHAOZHOU THREE-CIRCLE GROU-A,300408
CHANGSHA ZOOMLION HEAVY INDS,000157
CHANGCHUN HIGH & NEW TECH-A,000661
CGN POWER CO LTD-A,003816
CAPITAL SECURITIES CO LTD-A,601136
CAMBRICON TECHNOLOGIES CORP,688256
BYD CO LTD -A,002594
BOE TECHNOLOGY GROUP CO LT-A,000725
BEIJING-SHANGHAI HIGH SPE-A,601816
BEIJING WANTAI BIOLOGICAL-A,603392
BEIJING TONGRENTANG CO-A,600085
BEIJING TIANTAN BIOLOGICAL-A,600161
BEIJING ROBOROCK TECHNOLOG-A,688169
BEIJING NEW BUILDING MATER-A,000786
BEIJING KINGSOFT OFFICE SO-A,688111
BEIJING ENLIGHT MEDIA CO L-A 'A'CNY1,300251
BEIJING COMPASS TECHNOLOGY-A,300803
BAOSHAN IRON & STEEL CO-A,600019
BANK OF SHANGHAI CO LTD-A,601229
BANK OF NINGBO CO LTD -A,002142
BANK OF NANJING CO LTD -A,601009
BANK OF JIANGSUCO LTD-A,600919
BANK OF HANGZHOU CO LTD-A,600926
BANK OF COMMUNICATIONS-A,601328
BANK OF CHINA LTD-A,601988
BANK OF CHENGDU CO LTD-A,601838
BANK OF BEIJING CO LTD -A,601169
AVIC XI'AN AIRCRAFT INDUST-A,000768
